vin scvin vout scvout
19.90e-3 3e-3 3.839 500e-3
39.80e-3 6e-3 7.693 1.04
50.09e-3 7e-3 9.777 1.28
74.18e-3 11e-3 14.36 1.92
101.17e-3 14e-3 19.85 2.6
